Word,Class,Heat
tammy,0.0,254.0
typo,1.0,254.0
pettersen,1.0,254.0
eb26444k,0.0,254.0
webcl1,0.0,254.0
adventure,1.0,254.0
raincheck,0.0,254.0
footnotes,0.0,254.0
texassports,0.0,254.0
phil,0.0,254.0
resigned,0.0,254.0
skies,0.0,254.0
rembertandrews,0.0,254.0
adorable,1.0,254.0
whalley,0.0,254.0
mcclendon,0.0,254.0
reservation,1.0,254.0
sarato,1.0,254.0
gonna,0.0,254.0
essential,0.0,254.0
biz,0.0,254.0
eb3209c,0.0,254.0
218,0.0,254.0
nba,0.0,252.0
fans,0.0,251.0
glenn,0.0,249.66666666666663
floyd,0.0,249.0
tourism,1.0,248.0
ass,1.0,248.0
pete,1.0,247.5
birmingham,0.0,246.0
jakubik,0.0,245.0
sheets,1.0,244.0
matchups,0.0,243.0
1888,1.0,243.0
misunderstand,1.0,241.0
errol,0.0,241.0
calo,0.0,239.0
hodges,0.0,239.0
895,0.0,238.0
shoulder,1.0,238.0
daron,0.0,237.0
hellman,0.0,237.0
anaheim,0.0,236.75
cocke,0.0,236.0
presume,0.0,236.0
happening,1.0,235.66666666666663
minter,0.0,235.0
shelly,0.0,234.0
diana,1.0,234.0
shawna,0.0,234.0
pda,1.0,233.0
bed,1.0,233.0
bookmarks,0.0,233.0
csoutha,0.0,233.0
olds,0.0,232.5
fifteen,1.0,232.0
golf,1.0,232.0
lylnch,1.0,232.0
cam,0.0,232.0
hooked,1.0,232.0
bracket,0.0,232.0
ssto,1.0,231.53846153846158
compiling,1.0,231.0
gotta,0.0,230.375
orleans,0.0,230.0
doubt,1.0,230.0
carrie,0.0,230.0
door,1.0,230.0
saturdays,0.0,229.5
deville,1.0,229.0
harbor,0.0,228.66666666666663
accountant,0.0,228.5
clem,0.0,228.0
morse,0.0,228.0
derecskey,0.0,228.0
nobody,0.0,228.0
def,0.0,227.8
compuserve,0.0,227.5
favorite,0.0,227.33333333333331
england,0.0,227.0
pak,1.0,227.0
leather,0.0,227.0
association,0.0,227.0
threw,1.0,227.0
burton,0.0,226.66666666666663
bledsoe,0.0,226.5
cracked,0.0,226.0
vc2,0.0,226.0
marsh,0.0,226.0
lovely,0.0,226.0
vitation,0.0,226.0
cushion,0.0,226.0
paula,0.0,225.66666666666663
5666,0.0,225.0
quilti,0.0,225.0
africa,0.0,225.0
tamales,1.0,225.0
cookbook,1.0,224.5
mccoy,0.0,224.5
overseeing,0.0,224.0
limo,1.0,224.0
ryder,0.0,224.0
bears,0.0,224.0
logged,1.0,224.0
164,0.0,224.0
youroot,0.0,224.0
stories,0.0,223.66666666666663
charlie,0.0,223.66666666666663
hayden,0.0,223.5
delighted,1.0,223.0
pauline,0.0,223.0
somewhere,1.0,223.0
andrew,0.0,223.0
faces,1.0,223.0
screaming,1.0,223.0
thinkyou,1.0,222.0
mmequity,0.0,222.0
convention,0.0,222.0
cleaned,0.0,222.0
7770555thank,0.0,222.0
reconsider,0.0,222.0
exercises,0.0,222.0
phoned,0.0,222.0
knnow,0.0,222.0
festival,0.0,222.0
developer,1.0,221.5
luis,0.0,221.25
sweater,0.0,221.0
prefers,0.0,221.0
ladies,0.0,221.0
art,0.0,221.0
estes,0.0,221.0
tapes,0.0,221.0
melba,0.0,220.28571428571428
guidance,0.0,220.0
nyi,1.0,220.0
consult,0.0,220.0
owners,0.0,220.0
jslone,0.0,220.0
argonaut,1.0,220.0
resend,0.0,219.8
backyard,0.0,219.0
elaine,1.0,219.0
ticking,0.0,219.0
installed,0.0,219.0
fridays,0.0,219.0
sheetal,0.0,219.0
castillo,1.0,219.0
marvin,0.0,219.0
darrel,0.0,219.0
jodi,0.0,219.0
alice,0.0,219.0
liz,0.0,219.0
representing,0.0,218.5
sky,0.0,218.5
singles,0.0,218.2
upfront,0.0,218.0
albernita,0.0,218.0
inquired,1.0,218.0
mistated,0.0,218.0
km,0.0,218.0
jon,1.0,218.0
972941,0.0,218.0
perry,0.0,218.0
super,1.0,218.0
asks,0.0,217.75
te,0.0,217.75
65,1.0,217.0
eescc,1.0,217.0
jp,0.0,217.0
proud,0.0,217.0
im,1.0,217.0
kate,0.0,217.0
espinoza,1.0,216.66666666666663
pepl,0.0,216.66666666666663
intl,1.0,216.5
mls,0.0,216.0
unwinding,1.0,216.0
correlation,0.0,216.0
2228,0.0,216.0
hat,0.0,216.0
lessons,1.0,216.0
outgoing,0.0,216.0
jerseys,0.0,216.0
rich,1.0,216.0
itemordinal,0.0,216.0
thrilled,1.0,216.0
gallup,0.0,216.0
johnnie,0.0,215.75
lucia,1.0,215.6
mcmahon,1.0,215.0
orange,0.0,215.0
conforms,0.0,215.0
mp,1.0,215.0
political,1.0,215.0
hurts,0.0,215.0
presuming,0.0,215.0
okdg,0.0,215.0
liberman,0.0,215.0
avail,1.0,215.0
thethank,0.0,215.0
foley's,0.0,215.0
todd,0.0,214.75
jeremy,0.0,214.44444444444446
avg,0.0,214.25
mclaughlin,0.0,214.14285714285717
endo,0.0,214.0
250san,0.0,214.0
atlanta,1.0,214.0
attahed,0.0,214.0
vickers,0.0,214.0
monitor,0.0,214.0
oliveira,1.0,213.9090909090909
knock,0.0,213.66666666666663
claudia,0.0,213.33333333333331
gillespie,0.0,213.0
dale,0.0,213.0
phillips,1.0,213.0
producer,0.0,213.0
retire,0.0,213.0
kitna,0.0,213.0
benien,0.0,213.0
tuesdays,1.0,213.0
oaks,0.0,213.0
ard,0.0,213.0
championship,0.0,213.0
whatto,0.0,213.0
vat,0.0,213.0
bermuda,0.0,213.0
tammi,0.0,213.0
nebraska,0.0,213.0
popplewell,1.0,213.0
brunner,1.0,213.0
fishing,0.0,212.66666666666663
itinerary,1.0,212.5
eat,0.0,212.2
inherited,1.0,212.0
watson,0.0,212.0
sportsline,0.0,212.0
calculated,0.0,212.0
pager,1.0,212.0
runner,0.0,212.0
aaa,0.0,212.0
williamscan,0.0,212.0
luckily,0.0,212.0
maximumcash,0.0,212.0
forarded,0.0,212.0
dawned,0.0,212.0
cfrom,0.0,211.5
buckley,0.0,211.375
chrebet,0.0,211.33333333333331
rockies,0.0,211.28571428571428
lenny,0.0,211.25
towers,1.0,211.0
nt,0.0,211.0
therein,0.0,211.0
netto,1.0,211.0
agai,0.0,211.0
printer,1.0,211.0
longs,0.0,211.0
fallon,0.0,211.0
horn,0.0,210.66666666666663
thode,0.0,210.33333333333331
novak,1.0,210.16666666666663
ana,1.0,210.08333333333331
jealousof,0.0,210.0
charity,0.0,210.0
damn,0.0,210.0
jacobs,0.0,210.0
extended,1.0,210.0
hop,0.0,210.0
vp,0.0,210.0
shocker,0.0,210.0
controller,0.0,210.0
luce,0.0,210.0
stoner,1.0,209.8
vinson,0.0,209.66666666666663
picks,0.0,209.57142857142856
roseville,0.0,209.5
briefed,1.0,209.5
pablo,1.0,209.5
hendry,0.0,209.5
arrives,1.0,209.5
hill,0.0,209.33333333333331
espn,0.0,209.16666666666663
billed,0.0,209.0
edith,0.0,209.0
owe,0.0,209.0
dc,1.0,209.0
super,0.0,209.0
favorites,0.0,209.0
incidental,1.0,209.0
commence,0.0,209.0
greek,0.0,209.0
stood,0.0,209.0
palladium,1.0,209.0
authorizing,0.0,209.0
wonder,0.0,208.57142857142856
http,0.0,208.57009345794395
aunt,0.0,208.5
arsystem,0.0,208.5
luck,1.0,208.33333333333331
figured,0.0,208.25
paperless,0.0,208.0
tight,1.0,208.0
lowerat,0.0,208.0
hears,0.0,208.0
breed,0.0,208.0
lessonssusan,0.0,208.0
jed,0.0,208.0
route,1.0,208.0
holtz,0.0,208.0
lamar,0.0,208.0
arnold's,0.0,208.0
fryer,1.0,208.0
guess,0.0,207.82352941176467
coach,0.0,207.8
scored,0.0,207.5
29th,0.0,207.5
yeah,0.0,207.5
maurice,0.0,207.5
menu,0.0,207.33333333333331
bike,0.0,207.28571428571428
football,0.0,207.17391304347825
longhorn,0.0,207.0
kristin,0.0,207.0
gerard,1.0,207.0
huntington,0.0,207.0
smoothly,0.0,207.0
modifications,1.0,207.0
archives,0.0,207.0
delta,0.0,207.0
consult,1.0,207.0
sher,1.0,207.0
think,0.0,206.86353944562902
folder,1.0,206.6962962962963
playing,1.0,206.5
atlantic,0.0,206.0
doneso,0.0,206.0
333999,0.0,206.0
camarillo,0.0,206.0
cora,0.0,206.0
adm,1.0,206.0
topockcall,0.0,206.0
usa,1.0,206.0
hardly,0.0,206.0
photos,1.0,206.0
https,0.0,206.0
designate,0.0,206.0
cris,0.0,206.0
commitments,1.0,206.0
ornaments,0.0,206.0
electronically,0.0,206.0
southerne,0.0,206.0
mike,0.0,205.84615384615384
davies,0.0,205.5
screwed,0.0,205.5
sheraton,1.0,205.5
bay,0.0,205.5
misses,0.0,205.5
greetings,0.0,205.4
preston,0.0,205.28571428571428
glance,0.0,205.0
subdivided,0.0,205.0
tina,1.0,205.0
anybody,0.0,205.0
bennett,0.0,205.0
seth,1.0,205.0
afraid,1.0,205.0
digest,1.0,205.0
indexes,1.0,205.0
sid,0.0,205.0
alex,0.0,205.0
74,0.0,205.0
departments,0.0,205.0
louise,0.0,204.8
golf,0.0,204.72222222222226
remind,1.0,204.7142857142857
jacobson,1.0,204.5
ellisassistant,1.0,204.5
est,0.0,204.5
whomever,1.0,204.4
gentlemen,0.0,204.33333333333331
bridgette,0.0,204.25
holidays,1.0,204.16666666666663
macro,0.0,204.0
sjordan,0.0,204.0
fedex,1.0,204.0
receivables,0.0,204.0
exageration,0.0,204.0
carroll,1.0,204.0
tio,0.0,204.0
cramer,0.0,204.0
np,0.0,204.0
sv,0.0,204.0
gateway,0.0,204.0
